"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030054","GO:0030054","cell junction","207/491","450/2087",0.46,1.95523421588595,12.687417813599,1.46179644001695e-33,4.69236657245442e-31,2.04651501602373e-31,"Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Ckap5/Prph/Sorbs1/Dctn4/Nefm/Clasp2/Rtn4/Ank3/Strn/Eps15/Add1/Aak1/Wasl/Eps15l1/Atp1a1/Rtn3/Cd2ap/Rab3c/Wnk1/Anxa6/Dock7/Sptbn1/Epb41l1/Septin5/Myo1e/Pebp1/Myh9/Abr/Lasp1/Mpp1/Nefh/Tln2/Fubp1/Fermt2/Ap3d1/Git1/Cnn3/Pdlim5/Rab11fip5/Ap3s1/Dnm1/Synm/Tpd52/Arfgap1/Dclk1/Sncb/Sec22b/Sh3gl1/Exoc4/Afdn/Cpne3/Septin7/Ppp1ca/Snx9/Cgnl1/Snap29/Pdcd6ip/Ehd1/Eif4g2/Ctnnd1/Camsap3/Plec/Ablim1/Luzp1/Rpl5/Eif5/Rala/Actb/Mal2/Dpysl3/Tns2/Pcdh12/Rps12/Rab23/Actr2/Fga/Calm1/Eif4g3/Aqp1/Postn/Vdac1/Caprin1/Rps23/Phb2/Dsc1/Abi1/Add2/Amph/Ank1/Ank2/Ap2b1/Ap2m1/Ap3b2/Arfgap3/Arhgap17/Arhgap21/Arhgap28/Arhgap44/Asap1/Atp1b1/Atp2b1/Atp8a1/Bcar1/Bin1/Cadm1/Cadm3/Cadps/Camk2d/Caskin1/Cav2/Cdc42bpb/Coro1b/Cplx1/Crmp1/Dgki/Dgkz/Dmtn/Dmxl2/Dnajc6/Dnm3/Dst/Efr3a/Enah/Exoc3/Flot1/Flot2/Gabbr1/Gak/Gnao1/Grk2/Itgb1/Itsn2/Jcad/Kcna2/Kctd16/Kif21a/Kif5a/Kif5c/Lama3/Madd/Magi3/Mapre1/Mctp2/Mink1/Mtss1/Napg/Necap1/Nedd4l/Nefl/Numb/Pacsin1/Palld/Palmd/Pclo/Pgrmc2/Phaf1/Pik3c3/Plcb3/Praf2/Prkar2b/Prkcd/Prkcq/Prmt8/Prune2/Rab11b/Rab21/Rab3gap2/Rab5c/Rab6b/Rph3a/Rtn1/Rufy3/Scn10a/Scn11a/Septin3/Septin4/Sgip1/Sh3glb2/Shc1/Smcr8/Snap25/Snap47/Snap91/Snx1/Srcin1/Srgap3/Strn3/Stx7/Stxbp1/Syn1/Syn2/Synj1/Syp/Syt7/Tagln3/Tanc1/Tmod2/Trpv1/Vcpip1/Wdr7/Wipf3",207
"GO:0045202","GO:0045202","synapse","176/491","378/2087",0.465608465608466,1.97907305035615,11.664642141205,2.69062639979271e-28,4.31845537166731e-26,1.8834384798549e-26,"Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Ckap5/Prph/Sorbs1/Nefm/Clasp2/Rtn4/Ank3/Strn/Eps15/Add1/Aak1/Wasl/Eps15l1/Atp1a1/Rtn3/Cd2ap/Rab3c/Wnk1/Dock7/Sptbn1/Epb41l1/Septin5/Pebp1/Myh9/Abr/Lasp1/Nefh/Tln2/Fubp1/Ap3d1/Git1/Cnn3/Pdlim5/Rab11fip5/Ap3s1/Dnm1/Tpd52/Arfgap1/Dclk1/Sncb/Sec22b/Sh3gl1/Exoc4/Afdn/Septin7/Ppp1ca/Snx9/Snap29/Ehd1/Eif4g2/Ctnnd1/Ablim1/Rpl5/Eif5/Rala/Actb/Mal2/Dpysl3/Rps12/Actr2/Fga/Calm1/Eif4g3/Aqp1/Postn/Vdac1/Caprin1/Rps23/Phb2/Abi1/Add2/Amph/Ank1/Ank2/Ap2b1/Ap2m1/Ap3b2/Arfgap3/Arhgap44/Asap1/Atp2b1/Atp8a1/Bin1/Cadm1/Cadm3/Cadps/Camk2d/Caskin1/Coro1b/Cplx1/Crmp1/Dgki/Dgkz/Dmtn/Dmxl2/Dnajc6/Dnm3/Dst/Efr3a/Enah/Exoc3/Flot1/Flot2/Gabbr1/Gnao1/Grk2/Itgb1/Itsn2/Kcna2/Kctd16/Kif21a/Kif5a/Kif5c/Madd/Mctp2/Mink1/Napg/Necap1/Nedd4l/Nefl/Numb/Pacsin1/Palld/Palmd/Pclo/Pgrmc2/Phaf1/Pik3c3/Plcb3/Praf2/Prkar2b/Prkcd/Prkcq/Prmt8/Prune2/Rab11b/Rab21/Rab3gap2/Rab5c/Rab6b/Rph3a/Rtn1/Scn10a/Scn11a/Septin3/Septin4/Sgip1/Sh3glb2/Smcr8/Snap25/Snap47/Snap91/Snx1/Srcin1/Srgap3/Strn3/Stx7/Stxbp1/Syn1/Syn2/Synj1/Syp/Syt7/Tagln3/Tanc1/Tmod2/Trpv1/Vcpip1/Wdr7/Wipf3",176
"GO:0098793","GO:0098793","presynapse","96/491","178/2087",0.539325842696629,2.29240943728689,9.99743552932479,3.00801447038644e-20,2.42279227477729e-18,1.05666952794025e-18,"Prph/Nefm/Aak1/Eps15l1/Rtn3/Rab3c/Septin5/Pebp1/Ap3d1/Git1/Pdlim5/Ap3s1/Dnm1/Sncb/Sec22b/Sh3gl1/Exoc4/Afdn/Septin7/Ppp1ca/Snx9/Snap29/Ehd1/Ctnnd1/Rpl5/Actb/Mal2/Rps12/Calm1/Aqp1/Vdac1/Phb2/Amph/Ap2b1/Ap2m1/Ap3b2/Arfgap3/Arhgap44/Atp2b1/Atp8a1/Bin1/Cadm1/Cadm3/Cadps/Cplx1/Crmp1/Dgki/Dmxl2/Dnajc6/Dnm3/Efr3a/Exoc3/Flot1/Flot2/Gabbr1/Gnao1/Grk2/Itsn2/Kcna2/Kctd16/Kif21a/Madd/Mctp2/Necap1/Nefl/Pacsin1/Pclo/Phaf1/Pik3c3/Praf2/Prune2/Rab11b/Rab3gap2/Rab5c/Rab6b/Rph3a/Scn10a/Scn11a/Septin3/Septin4/Sgip1/Smcr8/Snap25/Snap47/Snap91/Snx1/Srcin1/Stx7/Stxbp1/Syn1/Syn2/Synj1/Syp/Syt7/Tanc1/Wdr7",96
"GO:0098794","GO:0098794","postsynapse","101/491","192/2087",0.526041666666667,2.23594492532247,9.96613074791401,3.019055794115e-20,2.42279227477729e-18,1.05666952794025e-18,"Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Ckap5/Nefm/Rtn4/Ank3/Strn/Add1/Wasl/Atp1a1/Rtn3/Sptbn1/Epb41l1/Abr/Lasp1/Nefh/Ap3d1/Git1/Cnn3/Pdlim5/Rab11fip5/Arfgap1/Dclk1/Sh3gl1/Exoc4/Afdn/Septin7/Ppp1ca/Eif4g2/Ctnnd1/Ablim1/Rpl5/Actb/Rps12/Actr2/Vdac1/Caprin1/Rps23/Phb2/Abi1/Add2/Ank1/Ank2/Ap2b1/Ap2m1/Arhgap44/Asap1/Atp2b1/Bin1/Cadm1/Camk2d/Caskin1/Cplx1/Crmp1/Dgki/Dgkz/Dmtn/Dnajc6/Dnm3/Dst/Gabbr1/Gnao1/Grk2/Itgb1/Kcna2/Kctd16/Kif5a/Kif5c/Mink1/Nedd4l/Nefl/Numb/Pacsin1/Palmd/Pclo/Pik3c3/Plcb3/Praf2/Prkar2b/Prkcd/Prmt8/Rph3a/Rtn1/Sh3glb2/Smcr8/Snap47/Snap91/Snx1/Srcin1/Srgap3/Strn3/Stxbp1/Syn1/Syn2/Syp/Tanc1/Trpv1",101
"GO:0042995","GO:0042995","cell projection","175/491","429/2087",0.407925407925408,1.73389068501085,9.45690906470512,1.15876832667871e-19,7.4392926572773e-18,3.24455131470038e-18,"Map6/Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Ckap5/Prph/Nefm/Clasp2/Rtn4/Ank3/Strn/Eps15/Add1/Aak1/Wasl/Atp1a1/Rtn3/Cd2ap/Eif4b/Dock7/Sptbn1/Septin5/Fkbp15/Myo1e/Pebp1/Myh9/Dctn2/Abr/Mpp1/Nefh/Tln2/Fermt2/Ap3d1/Git1/Cnn3/Pdlim5/Ap3s1/Dnm1/Arpin/Dctn1/Dclk1/Snx2/Sncb/Sh3gl1/Exoc4/Afdn/Septin7/Ppp1ca/Snx9/Snap29/Map7/Ldha/Nap1l4/Ehd1/Eif4g2/Ctnnd1/Camsap3/Plec/Ablim1/Luzp1/Dusp3/Dync1h1/Actb/Dpysl3/Rab15/Mks1/Actr2/Smurf1/Calm1/Aqp1/Caprin1/Phb2/Abhd12/Abi1/Amph/Ank1/Ap3b2/Aqp5/Arhgap44/Arpc5/Asap1/Atl1/Atp1b1/Atp2b1/Bcar1/Bin1/Cadm1/Camk2d/Camsap2/Cdc42bpb/Clip2/Coro1b/Cplx1/Crmp1/Csnk1a1/Cyld/Dgki/Dgkz/Dld/Dmtn/Dnm3/Dst/Ehd3/Enah/Exoc3/Flot1/Flot2/Fmn2/Gabbr1/Gnao1/Gprin1/Grk2/Iqcb1/Itgb1/Jcad/Katnb1/Kcna2/Kctd16/Kif21a/Kif5a/Kif5c/Klc2/Madd/Mapre1/Mast1/Mical3/Mink1/Nefl/Nsf/Numb/Osbpl3/Pacsin1/Palld/Palmd/Pclo/Pex5l/Phaf1/Prkar2b/Prom2/Ptpn23/Rab21/Rap1gap2/Rph3a/Rtn1/Rufy3/S100a6/Scn10a/Scn11a/Septin4/Slc12a2/Slc27a4/Smcr8/Snap25/Snap47/Snap91/Snx1/Srcin1/Strn3/Stxbp1/Syn1/Synj1/Syp/Syt7/Tanc1/Thsd7a/Tmod2/Tomm20/Trpv1/Tubb3/Tubb4a/Vps13a/Ykt6",175
"GO:0005856","GO:0005856","cytoskeleton","160/491","383/2087",0.4177545691906,1.77566962505251,9.31585738414611,5.709681961424e-19,2.67146283339761e-17,1.16512397718276e-17,"Map6/Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Ckap5/Tuba4a/Prph/Sorbs1/Dctn4/Nefm/Clasp2/Ank3/Add1/Dync1li2/Wasl/Cd2ap/Wnk1/Bcas3/Tppp3/Sptbn1/Epb41l1/Septin5/Fkbp15/Myo1e/Tacc2/Myh9/Dctn2/Lasp1/Mpp1/Slc25a5/Nefh/Tln2/Fermt2/Git1/Cnn3/Pdlim5/Scyl1/Rab11fip5/Dnm1/Rabl6/Anxa11/Synm/Dctn1/Sh3gl1/Exoc4/Septin7/Snx9/Cgnl1/Snap29/Pdcd6ip/Map7/Tubb5/Camsap3/Plec/Ablim1/Cr1l/Tpr/Luzp1/Dusp3/Dync1h1/Ruvbl1/Lmnb2/Actb/Dpysl3/Katnal2/Mks1/Rcc2/Map7d1/Rab23/Actr2/Calm1/Chmp3/Krt25/Vps37a/Abi1/Ablim2/Actr10/Add2/Amph/Ank1/Ank2/Arhgap21/Arhgef18/Arpc5/Asap1/Bcar1/Bin1/Camsap1/Camsap2/Ccdc22/Cdc42bpb/Cep170b/Champ1/Chmp7/Chp1/Clip2/Coro1b/Crmp1/Csnk1a1/Cyld/Dgkh/Dmtn/Dnm3/Dst/Eml1/Enah/Flot1/Flot2/Fmn2/Fnbp1l/Fry/Iqcb1/Itsn2/Katnal1/Katnb1/Kif21a/Kif5a/Kif5c/Klc2/Krt20/Krt31/Krt80/Map7d2/Mapre1/Mast1/Mical3/Mprip/Mtss1/Myl12b/Myo18a/Nefl/Nek7/Nek9/Palld/Pclo/Pitpnm2/Ppp1r18/Prkar2b/Prkcq/Ptpn23/Rap1gap2/Ruvbl2/Septin3/Septin4/Sestd1/Slain2/Snap25/Srcin1/Syn1/Synj1/Tagln3/Tmod1/Tmod2/Tubb3/Tubb4a/Vps4b/Wdr44",160
"GO:0120025","GO:0120025","plasma membrane bounded cell projection","170/491","417/2087",0.407673860911271,1.73282148212184,9.27661298338051,5.82561988591378e-19,2.67146283339761e-17,1.16512397718276e-17,"Map6/Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Ckap5/Prph/Nefm/Clasp2/Rtn4/Ank3/Strn/Eps15/Add1/Aak1/Wasl/Atp1a1/Rtn3/Cd2ap/Eif4b/Dock7/Sptbn1/Septin5/Fkbp15/Myo1e/Pebp1/Myh9/Dctn2/Abr/Mpp1/Nefh/Tln2/Fermt2/Ap3d1/Git1/Cnn3/Ap3s1/Dnm1/Arpin/Dctn1/Dclk1/Snx2/Sncb/Exoc4/Afdn/Septin7/Ppp1ca/Snx9/Snap29/Map7/Ldha/Nap1l4/Ehd1/Eif4g2/Ctnnd1/Camsap3/Plec/Ablim1/Luzp1/Dusp3/Dync1h1/Actb/Dpysl3/Rab15/Mks1/Actr2/Smurf1/Calm1/Aqp1/Caprin1/Phb2/Abhd12/Abi1/Amph/Ank1/Ap3b2/Aqp5/Arhgap44/Arpc5/Asap1/Atl1/Atp1b1/Atp2b1/Bcar1/Bin1/Cadm1/Camk2d/Camsap2/Cdc42bpb/Clip2/Coro1b/Cplx1/Crmp1/Csnk1a1/Cyld/Dgki/Dgkz/Dld/Dmtn/Dnm3/Dst/Ehd3/Enah/Exoc3/Flot1/Flot2/Fmn2/Gabbr1/Gnao1/Gprin1/Grk2/Iqcb1/Itgb1/Jcad/Katnb1/Kcna2/Kif21a/Kif5a/Kif5c/Klc2/Madd/Mapre1/Mast1/Mink1/Nefl/Nsf/Numb/Osbpl3/Pacsin1/Palld/Palmd/Pclo/Pex5l/Phaf1/Prkar2b/Prom2/Ptpn23/Rab21/Rap1gap2/Rph3a/Rtn1/Rufy3/S100a6/Scn10a/Scn11a/Septin4/Slc12a2/Slc27a4/Snap25/Snap47/Snap91/Snx1/Srcin1/Strn3/Stxbp1/Syn1/Synj1/Syp/Syt7/Tanc1/Thsd7a/Tmod2/Tomm20/Trpv1/Tubb3/Tubb4a/Vps13a/Ykt6",170
"GO:0043005","GO:0043005","neuron projection","129/491","283/2087",0.45583038869258,1.9375112448094,9.40660464571114,7.68234032956743e-19,3.08253905723893e-17,1.3444095576743e-17,"Map6/Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Ckap5/Prph/Nefm/Clasp2/Rtn4/Ank3/Strn/Add1/Aak1/Atp1a1/Rtn3/Cd2ap/Eif4b/Dock7/Sptbn1/Septin5/Fkbp15/Pebp1/Dctn2/Abr/Mpp1/Nefh/Ap3d1/Git1/Cnn3/Ap3s1/Dnm1/Dctn1/Dclk1/Sncb/Exoc4/Afdn/Septin7/Ppp1ca/Map7/Nap1l4/Eif4g2/Ctnnd1/Plec/Dync1h1/Actb/Dpysl3/Smurf1/Calm1/Aqp1/Caprin1/Phb2/Abhd12/Abi1/Amph/Ank1/Ap3b2/Arhgap44/Arpc5/Asap1/Atl1/Atp2b1/Bcar1/Bin1/Cadm1/Camk2d/Clip2/Cplx1/Crmp1/Dgki/Dnm3/Dst/Enah/Exoc3/Flot2/Gabbr1/Gnao1/Gprin1/Grk2/Iqcb1/Itgb1/Katnb1/Kcna2/Kif21a/Kif5a/Kif5c/Klc2/Madd/Mast1/Mink1/Nefl/Nsf/Numb/Pacsin1/Palld/Palmd/Pclo/Pex5l/Phaf1/Prkar2b/Rab21/Rap1gap2/Rph3a/Rtn1/Rufy3/Scn10a/Scn11a/Septin4/Slc12a2/Snap25/Snap47/Snap91/Snx1/Srcin1/Strn3/Stxbp1/Syn1/Synj1/Syp/Syt7/Tanc1/Tmod2/Trpv1/Tubb3/Tubb4a/Vps13a/Ykt6",129
"GO:0097708","GO:0097708","intracellular vesicle","148/491","355/2087",0.416901408450704,1.77204325750839,8.85448531037319,2.95788346702092e-17,1.0549784365708e-15,4.60115205981032e-16,"Map6/Eps15/Aak1/Dync1li2/Wasl/Atp1a1/Cd2ap/Rab3c/Anxa6/Scyl2/Septin5/Fkbp15/Mon2/Myo1e/Pebp1/Myh9/Clint1/Washc2/Nap1l1/Ap3d1/Git1/Scyl1/Rab11fip5/Ap3s1/Dnm1/Anxa11/Epn2/Snx2/Sec22b/Sh3gl1/Exoc4/Snx9/Snap29/Pdcd6ip/Ehd1/Rala/Gapvd1/Necap2/Mal2/Dpysl3/Rab15/Rcc2/Rab23/Fga/Calm1/Aqp1/Vdac1/Chmp3/Vps37a/Add2/Agfg2/Amph/Ank2/Ankrd13d/Ap2b1/Ap2m1/Ap3b2/Aqp5/Arfgef3/Arhgap21/Arhgap44/Arpc5/Atp2b1/Atp8a1/Bin1/Cadm1/Cadps/Cav2/Ccdc22/Chmp7/Chp1/Clip2/Dgkh/Dgki/Dld/Dmtn/Dmxl2/Dnajc6/Dst/Ehbp1/Ehd3/Ehd4/Exoc3/Flot1/Flot2/Fmn2/Fmnl1/Fnbp1l/Gabbr1/Gak/Gga3/Itgb1/Itsn2/Lgals8/Loxl1/Madd/Mctp2/Myo18a/Necap1/Nedd4l/Numb/Pacs1/Pacsin1/Pclo/Phaf1/Pik3c3/Praf2/Prkcd/Prom2/Ptpn23/Rab11b/Rab11fip2/Rab21/Rab5c/Rab6b/Rabgap1l/Relch/Rph3a/Septin4/Sgip1/Sh3bp4/Shc1/Slc12a2/Snap25/Snap91/Snx1/Snx11/Stam2/Stx7/Stxbp1/Syn1/Syn2/Syp/Syt7/Tmed10/Tom1l2/Trappc9/Trarg1/Vipas39/Vps13a/Vps13c/Vps4b/Vps8/Wdr44/Wdr7/Wipf3/Ykt6/Zfyve16",148
"GO:0031410","GO:0031410","cytoplasmic vesicle","147/491","354/2087",0.415254237288136,1.76504194138562,8.75929290483338,6.24311561560438e-17,1.92801500682472e-15,8.40878819175891e-16,"Map6/Eps15/Aak1/Dync1li2/Wasl/Atp1a1/Cd2ap/Rab3c/Anxa6/Scyl2/Septin5/Fkbp15/Mon2/Myo1e/Pebp1/Myh9/Clint1/Washc2/Nap1l1/Ap3d1/Git1/Scyl1/Rab11fip5/Ap3s1/Dnm1/Anxa11/Epn2/Snx2/Sec22b/Sh3gl1/Exoc4/Snx9/Snap29/Pdcd6ip/Ehd1/Rala/Gapvd1/Necap2/Mal2/Dpysl3/Rab15/Rcc2/Rab23/Fga/Calm1/Aqp1/Vdac1/Chmp3/Vps37a/Add2/Agfg2/Amph/Ank2/Ankrd13d/Ap2b1/Ap2m1/Ap3b2/Aqp5/Arfgef3/Arhgap21/Arhgap44/Arpc5/Atp2b1/Atp8a1/Bin1/Cadm1/Cadps/Cav2/Ccdc22/Chmp7/Chp1/Clip2/Dgkh/Dgki/Dld/Dmtn/Dmxl2/Dnajc6/Dst/Ehbp1/Ehd3/Ehd4/Exoc3/Flot1/Flot2/Fmn2/Fmnl1/Fnbp1l/Gabbr1/Gak/Gga3/Itgb1/Lgals8/Loxl1/Madd/Mctp2/Myo18a/Necap1/Nedd4l/Numb/Pacs1/Pacsin1/Pclo/Phaf1/Pik3c3/Praf2/Prkcd/Prom2/Ptpn23/Rab11b/Rab11fip2/Rab21/Rab5c/Rab6b/Rabgap1l/Relch/Rph3a/Septin4/Sgip1/Sh3bp4/Shc1/Slc12a2/Snap25/Snap91/Snx1/Snx11/Stam2/Stx7/Stxbp1/Syn1/Syn2/Syp/Syt7/Tmed10/Tom1l2/Trappc9/Trarg1/Vipas39/Vps13a/Vps13c/Vps4b/Vps8/Wdr44/Wdr7/Wipf3/Ykt6/Zfyve16",147
"GO:0030424","GO:0030424","axon","91/491","179/2087",0.508379888268156,2.16087337436994,9.00748681945221,6.60690500781058e-17,1.92801500682472e-15,8.40878819175891e-16,"Map6/Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Prph/Nefm/Clasp2/Ank3/Aak1/Atp1a1/Cd2ap/Dock7/Sptbn1/Septin5/Fkbp15/Pebp1/Dctn2/Abr/Nefh/Ap3d1/Git1/Ap3s1/Dnm1/Dctn1/Dclk1/Sncb/Exoc4/Afdn/Septin7/Map7/Eif4g2/Ctnnd1/Plec/Dync1h1/Actb/Dpysl3/Smurf1/Calm1/Aqp1/Phb2/Abi1/Amph/Ank1/Ap3b2/Arpc5/Atl1/Bcar1/Bin1/Cadm1/Camk2d/Cplx1/Crmp1/Dgki/Dnm3/Dst/Exoc3/Gabbr1/Gprin1/Grk2/Katnb1/Kcna2/Kif21a/Kif5a/Kif5c/Madd/Mast1/Mink1/Nefl/Pacsin1/Palld/Pclo/Rab21/Rufy3/Scn10a/Scn11a/Septin4/Snap25/Snap91/Srcin1/Stxbp1/Syn1/Synj1/Syp/Syt7/Tanc1/Tmod2/Tubb3/Tubb4a",91
"GO:0031982","GO:0031982","vesicle","153/491","385/2087",0.397402597402597,1.68916338244241,8.30336703147947,1.55525831839214e-15,3.85055694474184e-14,1.67937063010547e-14,"Map6/Eps15/Aak1/Dync1li2/Wasl/Atp1a1/Cd2ap/Rab3c/Anxa6/Scyl2/Septin5/Fkbp15/Mon2/Myo1e/Pebp1/Myh9/Dctn2/Clint1/Washc2/Nap1l1/Ap3d1/Git1/Scyl1/Rab11fip5/Ap3s1/Dnm1/Anxa11/Epn2/Snx2/Sec22b/Sh3gl1/Exoc4/Fn1/Septin7/Snx9/Snap29/Pdcd6ip/Ehd1/Rala/Gapvd1/Necap2/Mal2/Dpysl3/Rab15/Rcc2/Rab23/Fga/Calm1/Aqp1/Vdac1/Chmp3/Vps37a/Add2/Agfg2/Amph/Ank2/Ankrd13d/Ap2b1/Ap2m1/Ap3b2/Aqp5/Arfgef3/Arhgap21/Arhgap44/Arpc5/Atp2b1/Atp8a1/Bin1/Cadm1/Cadps/Cav2/Ccdc22/Cend1/Chmp7/Chp1/Clip2/Dgkh/Dgki/Dld/Dmtn/Dmxl2/Dnajc6/Dst/Ehbp1/Ehd3/Ehd4/Exoc3/Flot1/Flot2/Fmn2/Fmnl1/Fnbp1l/Gabbr1/Gak/Gga3/Itgb1/Itsn2/Lgals8/Loxl1/Madd/Mctp2/Myo18a/Necap1/Nedd4l/Numb/Pacs1/Pacsin1/Pclo/Phaf1/Pik3c3/Praf2/Prkcd/Prom2/Ptpn23/Rab11b/Rab11fip2/Rab21/Rab5c/Rab6b/Rabgap1l/Relch/Rph3a/Septin4/Sgip1/Sh3bp4/Shc1/Slc12a2/Snap25/Snap91/Snx1/Snx11/Stam2/Stx7/Stxbp1/Syn1/Syn2/Synj1/Syp/Syt7/Tmed10/Tom1l2/Trappc9/Trarg1/Vipas39/Vps13a/Vps13c/Vps4b/Vps8/Wdr44/Wdr7/Wipf3/Ykt6/Zfyve16",153
"GO:0032279","GO:0032279","asymmetric synapse","55/491","88/2087",0.625,2.65656822810591,8.80492622087289,1.55941558509794e-15,3.85055694474184e-14,1.67937063010547e-14,"Mapt/Map1b/Epb41l3/Map1a/Map4/Nefm/Rtn4/Ank3/Add1/Atp1a1/Rtn3/Sptbn1/Epb41l1/Abr/Nefh/Git1/Pdlim5/Arfgap1/Dclk1/Sh3gl1/Exoc4/Afdn/Eif4g2/Ctnnd1/Ablim1/Rpl5/Vdac1/Phb2/Abi1/Add2/Ank2/Arhgap44/Cadm1/Camk2d/Dgki/Dgkz/Dmtn/Dnajc6/Dnm3/Dst/Grk2/Itgb1/Mink1/Numb/Pacsin1/Pclo/Rtn1/Snap47/Snap91/Snx1/Srcin1/Syn1/Syn2/Syp/Tanc1",55
"GO:0014069","GO:0014069","postsynaptic density","54/491","86/2087",0.627906976744186,2.66892435939942,8.76483590211958,2.16001186143246e-15,4.95259862514157e-14,2.16001186143246e-14,"Mapt/Map1b/Epb41l3/Map1a/Map4/Nefm/Rtn4/Ank3/Add1/Atp1a1/Rtn3/Sptbn1/Epb41l1/Abr/Nefh/Git1/Pdlim5/Arfgap1/Dclk1/Sh3gl1/Exoc4/Afdn/Eif4g2/Ctnnd1/Ablim1/Rpl5/Vdac1/Phb2/Abi1/Add2/Ank2/Arhgap44/Cadm1/Camk2d/Dgki/Dgkz/Dmtn/Dnajc6/Dnm3/Dst/Grk2/Mink1/Numb/Pacsin1/Pclo/Rtn1/Snap47/Snap91/Snx1/Srcin1/Syn1/Syn2/Syp/Tanc1",54
